OBSERVATION_DATETIME,mexico_city,reykjavik,anchorage,cape_horn,albuquerque,buenos_aires,vancouver,brasilia,nyc
2011-06-11,290.220001221,280.369995117,279.549987793,275.75,290.41998291,287.470001221,281.619995117,294.970001221,293.850006104
2011-06-12,290.450012207,279.950012207,280.200012207,277.070007324,291.850006104,282.279998779,282.220001221,294.75,292.75
2011-06-13,290.41998291,279.720001221,279.700012207,275.350006104,292.970001221,280.25,280.070007324,295.119995117,291.299987793
2011-06-14,290.850006104,279.400024414,278.75,275.600006104,293.150024414,285.600006104,279.820007324,294.529998779,290.869995117
2011-06-15,290.529998779,279.970001221,278.299987793,275.5,294.369995117,290.549987793,280.470001221,294.100006104,294.320007324
2011-06-16,290.570007324,281.450012207,281.029998779,274.119995117,295.200012207,286.299987793,281.270019531,292.779998779,294.0
2011-06-17,290.720001221,280.549987793,284.520019531,276.049987793,293.570007324,283.400024414,282.320007324,292.570007324,294.299987793
2011-06-18,290.850006104,281.119995117,285.450012207,275.650024414,293.75,288.770019531,282.320007324,292.869995117,295.83001709
2011-06-19,290.970001221,280.850006104,282.869995117,276.0,290.029998779,284.570007324,282.970001221,295.900024414,294.369995117
2011-06-20,289.650024414,280.520019531,280.66998291,276.869995117,289.020019531,281.799987793,284.049987793,296.25,294.799987793
2011-06-21,290.299987793,280.820007324,281.619995117,278.200012207,294.350006104,282.119995117,284.179992676,296.16998291,296.200012207
2011-06-22,291.070007324,281.150024414,280.529998779,274.549987793,298.869995117,283.049987793,281.200012207,295.549987793,297.5
2011-06-23,291.369995117,281.820007324,283.700012207,274.799987793,296.5,279.75,280.650024414,294.770019531,295.779998779
2011-06-24,290.970001221,282.529998779,287.049987793,278.020019531,296.119995117,279.200012207,281.220001221,296.25,294.970001221
2011-06-25,290.650024414,281.520019531,283.5,277.320007324,297.150024414,275.200012207,282.0,296.049987793,295.029998779
2011-06-26,289.869995117,280.91998291,282.75,274.820007324,297.950012207,275.400024414,285.299987793,293.75,295.33001709
2011-06-27,289.66998291,279.869995117,281.799987793,276.0,297.83001709,276.600006104,286.799987793,292.049987793,296.049987793
2011-06-28,290.619995117,279.350006104,282.100006104,274.5,297.91998291,276.970001221,284.700012207,294.770019531,297.049987793
2011-06-29,290.66998291,281.0,282.700012207,271.299987793,298.220001221,280.119995117,280.91998291,295.650024414,295.049987793
2011-06-30,290.470001221,283.400024414,281.850006104,274.200012207,296.020019531,273.799987793,280.869995117,295.950012207,294.900024414
2011-07-01,290.100006104,284.020019531,281.869995117,276.029998779,298.270019531,275.869995117,283.16998291,297.520019531,296.450012207
2011-07-02,289.5,283.100006104,281.869995117,277.619995117,296.850006104,274.0,283.429992676,294.299987793,296.450012207
2011-07-03,289.400024414,282.75,280.520019531,276.619995117,297.119995117,274.270019531,282.799987793,293.549987793,296.450012207
2011-07-04,289.470001221,283.350006104,282.020019531,277.470001221,299.150024414,275.549987793,283.869995117,293.5,297.119995117
2011-07-05,289.549987793,285.020019531,284.070007324,277.369995117,297.470001221,276.650024414,285.91998291,296.220001221,297.850006104
2011-07-06,290.049987793,284.570007324,285.119995117,276.850006104,297.950012207,276.91998291,284.770019531,296.75,297.299987793
2011-07-07,290.570007324,284.66998291,284.279998779,274.350006104,297.900024414,280.220001221,280.869995117,294.16998291,297.400024414
2011-07-08,290.350006104,283.119995117,282.900024414,274.41998291,297.869995117,284.350006104,281.25,293.16998291,296.100006104
2011-07-09,290.220001221,283.549987793,282.91998291,273.799987793,297.700012207,285.470001221,283.549987793,296.650024414,298.400024414
2011-07-10,290.869995117,283.320007324,282.850006104,276.350006104,297.279998779,285.91998291,284.850006104,296.66998291,298.700012207
